"Step","model_5_128_4 - train/cross_entropy_loss","model_5_128_4 - train/cross_entropy_loss__MIN","model_5_128_4 - train/cross_entropy_loss__MAX"
"1","6.503526221076362","6.503526221076362","6.503526221076362"
"2","5.253908270554577","5.253908270554577","5.253908270554577"
"3","4.833119227731828","4.833119227731828","4.833119227731828"
"4","4.521918852552235","4.521918852552235","4.521918852552235"
"5","4.31547844838753","4.31547844838753","4.31547844838753"
"6","4.164181443427107","4.164181443427107","4.164181443427107"
"7","4.044956847060498","4.044956847060498","4.044956847060498"
"8","3.939972438400598","3.939972438400598","3.939972438400598"
"9","3.8539470305545724","3.8539470305545724","3.8539470305545724"
"10","3.7778084123734947","3.7778084123734947","3.7778084123734947"
"11","3.7109011797596225","3.7109011797596225","3.7109011797596225"
"12","3.650821618896594","3.650821618896594","3.650821618896594"
"13","3.59691873557276","3.59691873557276","3.59691873557276"
"14","3.547697593839906","3.547697593839906","3.547697593839906"
"15","3.501815389386184","3.501815389386184","3.501815389386184"
"16","3.4595839119643617","3.4595839119643617","3.4595839119643617"
"17","3.4221607763990223","3.4221607763990223","3.4221607763990223"
"18","3.3852929588702083","3.3852929588702083","3.3852929588702083"
"19","3.3494778588521394","3.3494778588521394","3.3494778588521394"
"20","3.3192976944738155","3.3192976944738155","3.3192976944738155"
"21","3.287620741686375","3.287620741686375","3.287620741686375"
"22","3.2605543428187747","3.2605543428187747","3.2605543428187747"
"23","3.233773173188134","3.233773173188134","3.233773173188134"
"24","3.206586928676358","3.206586928676358","3.206586928676358"
"25","3.1822719025097306","3.1822719025097306","3.1822719025097306"
"26","3.159202278946801","3.159202278946801","3.159202278946801"
"27","3.1384892858189644","3.1384892858189644","3.1384892858189644"
"28","3.1153784552924066","3.1153784552924066","3.1153784552924066"
"29","3.096552759623356","3.096552759623356","3.096552759623356"
"30","3.077279797560877","3.077279797560877","3.077279797560877"
"31","3.05843322397136","3.05843322397136","3.05843322397136"
"32","3.0430879833029327","3.0430879833029327","3.0430879833029327"
"33","3.0247883213509756","3.0247883213509756","3.0247883213509756"
"34","3.0071357908866387","3.0071357908866387","3.0071357908866387"
"35","2.9896381776109875","2.9896381776109875","2.9896381776109875"
"36","2.97579304777461","2.97579304777461","2.97579304777461"
"37","2.960660555379854","2.960660555379854","2.960660555379854"
"38","2.944603523762106","2.944603523762106","2.944603523762106"
"39","2.9309587324265953","2.9309587324265953","2.9309587324265953"
"40","2.9173809555794694","2.9173809555794694","2.9173809555794694"
"41","2.90432789857439","2.90432789857439","2.90432789857439"
"42","2.8922659493178773","2.8922659493178773","2.8922659493178773"
"43","2.878953894265264","2.878953894265264","2.878953894265264"
"44","2.8676858274199124","2.8676858274199124","2.8676858274199124"
"45","2.856498713115994","2.856498713115994","2.856498713115994"
"46","2.844678010871942","2.844678010871942","2.844678010871942"
"47","2.830900670813142","2.830900670813142","2.830900670813142"
"48","2.8224283276702002","2.8224283276702002","2.8224283276702002"
"49","2.809203708772179","2.809203708772179","2.809203708772179"
"50","2.8002883152996034","2.8002883152996034","2.8002883152996034"
"51","2.789596442696002","2.789596442696002","2.789596442696002"
"52","2.7807395286697276","2.7807395286697276","2.7807395286697276"
"53","2.7702433479775626","2.7702433479775626","2.7702433479775626"
"54","2.761986458044258","2.761986458044258","2.761986458044258"
"55","2.7522696042232377","2.7522696042232377","2.7522696042232377"
"56","2.741715767400728","2.741715767400728","2.741715767400728"
"57","2.7339337661111953","2.7339337661111953","2.7339337661111953"
"58","2.724082152620494","2.724082152620494","2.724082152620494"
"59","2.71600487592409","2.71600487592409","2.71600487592409"
"60","2.7080459097306506","2.7080459097306506","2.7080459097306506"
"61","2.697702473016094","2.697702473016094","2.697702473016094"
"62","2.690863972945179","2.690863972945179","2.690863972945179"
"63","2.6839791253316316","2.6839791253316316","2.6839791253316316"
"64","2.6760100134842686","2.6760100134842686","2.6760100134842686"
"65","2.668635797157562","2.668635797157562","2.668635797157562"
"66","2.6600658018812","2.6600658018812","2.6600658018812"
"67","2.652974022378167","2.652974022378167","2.652974022378167"
"68","2.645850330805607","2.645850330805607","2.645850330805607"
"69","2.6372020827780527","2.6372020827780527","2.6372020827780527"
"70","2.6319028079080926","2.6319028079080926","2.6319028079080926"
"71","2.623717359501681","2.623717359501681","2.623717359501681"
"72","2.617908608141563","2.617908608141563","2.617908608141563"
"73","2.609831856309081","2.609831856309081","2.609831856309081"
"74","2.603644189217108","2.603644189217108","2.603644189217108"
"75","2.5990726913479594","2.5990726913479594","2.5990726913479594"
"76","2.591394676578988","2.591394676578988","2.591394676578988"
"77","2.584167224897755","2.584167224897755","2.584167224897755"
"78","2.580131667981045","2.580131667981045","2.580131667981045"
"79","2.573331736832214","2.573331736832214","2.573331736832214"
"80","2.568079260613421","2.568079260613421","2.568079260613421"
"81","2.5611112769559132","2.5611112769559132","2.5611112769559132"
"82","2.556924857681604","2.556924857681604","2.556924857681604"
"83","2.550504644997686","2.550504644997686","2.550504644997686"
"84","2.54467292483762","2.54467292483762","2.54467292483762"
"85","2.5384839267181833","2.5384839267181833","2.5384839267181833"
"86","2.535483073845184","2.535483073845184","2.535483073845184"
"87","2.5283566910585913","2.5283566910585913","2.5283566910585913"
"88","2.524865491784734","2.524865491784734","2.524865491784734"
"89","2.517748872153193","2.517748872153193","2.517748872153193"
"90","2.5121349619446898","2.5121349619446898","2.5121349619446898"
"91","2.5066554855099685","2.5066554855099685","2.5066554855099685"
"92","2.5043229868086123","2.5043229868086123","2.5043229868086123"
"93","2.4993681444538582","2.4993681444538582","2.4993681444538582"
"94","2.4918892658014093","2.4918892658014093","2.4918892658014093"
"95","2.4881147189106017","2.4881147189106017","2.4881147189106017"
"96","2.4835915136680327","2.4835915136680327","2.4835915136680327"
"97","2.4787239839704776","2.4787239839704776","2.4787239839704776"
"98","2.4747194574891234","2.4747194574891234","2.4747194574891234"
"99","2.46857366287451","2.46857366287451","2.46857366287451"
"100","2.4664318715925697","2.4664318715925697","2.4664318715925697"
