"Step","model_6 - train/cross_entropy_loss","model_6 - train/cross_entropy_loss__MIN","model_6 - train/cross_entropy_loss__MAX"
"1","6.545887319304103","6.545887319304103","6.545887319304103"
"2","5.234746775181174","5.234746775181174","5.234746775181174"
"3","4.861004338847647","4.861004338847647","4.861004338847647"
"4","4.553231064364207","4.553231064364207","4.553231064364207"
"5","4.323653478416608","4.323653478416608","4.323653478416608"
"6","4.155231717679141","4.155231717679141","4.155231717679141"
"7","4.0251357418170075","4.0251357418170075","4.0251357418170075"
"8","3.9162230886143745","3.9162230886143745","3.9162230886143745"
"9","3.8255495476208146","3.8255495476208146","3.8255495476208146"
"10","3.7473555537436507","3.7473555537436507","3.7473555537436507"
"11","3.6773230686462184","3.6773230686462184","3.6773230686462184"
"12","3.6157113270793886","3.6157113270793886","3.6157113270793886"
"13","3.559841523067557","3.559841523067557","3.559841523067557"
"14","3.509671223249367","3.509671223249367","3.509671223249367"
"15","3.465037416211135","3.465037416211135","3.465037416211135"
"16","3.4219587586766522","3.4219587586766522","3.4219587586766522"
"17","3.381305113113184","3.381305113113184","3.381305113113184"
"18","3.3454884830996288","3.3454884830996288","3.3454884830996288"
"19","3.3111394618054946","3.3111394618054946","3.3111394618054946"
"20","3.2810080909042907","3.2810080909042907","3.2810080909042907"
"21","3.2494134628515448","3.2494134628515448","3.2494134628515448"
"22","3.22133738359959","3.22133738359959","3.22133738359959"
"23","3.1938435053653853","3.1938435053653853","3.1938435053653853"
"24","3.1664795892701734","3.1664795892701734","3.1664795892701734"
"25","3.1430966665418887","3.1430966665418887","3.1430966665418887"
"26","3.1201072768341724","3.1201072768341724","3.1201072768341724"
"27","3.0975921188327047","3.0975921188327047","3.0975921188327047"
"28","3.0758078578564763","3.0758078578564763","3.0758078578564763"
"29","3.054921145061795","3.054921145061795","3.054921145061795"
"30","3.0354246561475793","3.0354246561475793","3.0354246561475793"
"31","3.017864239301613","3.017864239301613","3.017864239301613"
"32","2.9977747159038515","2.9977747159038515","2.9977747159038515"
"33","2.9785182030080892","2.9785182030080892","2.9785182030080892"
"34","2.962193185476948","2.962193185476948","2.962193185476948"
"35","2.9440009559658793","2.9440009559658793","2.9440009559658793"
"36","2.928649480394322","2.928649480394322","2.928649480394322"
"37","2.910977626018387","2.910977626018387","2.910977626018387"
"38","2.8971850872039795","2.8971850872039795","2.8971850872039795"
"39","2.882163701297568","2.882163701297568","2.882163701297568"
"40","2.8682505569869665","2.8682505569869665","2.8682505569869665"
"41","2.854857154887357","2.854857154887357","2.854857154887357"
"42","2.841333039372945","2.841333039372945","2.841333039372945"
"43","2.8281570527193356","2.8281570527193356","2.8281570527193356"
"44","2.814622304422392","2.814622304422392","2.814622304422392"
"45","2.8035169573996566","2.8035169573996566","2.8035169573996566"
"46","2.7894613245408313","2.7894613245408313","2.7894613245408313"
"47","2.7793772049087413","2.7793772049087413","2.7793772049087413"
"48","2.768023610972672","2.768023610972672","2.768023610972672"
"49","2.755359533021776","2.755359533021776","2.755359533021776"
"50","2.746135368621607","2.746135368621607","2.746135368621607"
"51","2.7351258470000124","2.7351258470000124","2.7351258470000124"
"52","2.724469996184754","2.724469996184754","2.724469996184754"
"53","2.713353079857586","2.713353079857586","2.713353079857586"
"54","2.7057421619085957","2.7057421619085957","2.7057421619085957"
"55","2.695036153999164","2.695036153999164","2.695036153999164"
"56","2.683866675809133","2.683866675809133","2.683866675809133"
"57","2.675838614539277","2.675838614539277","2.675838614539277"
"58","2.666516707097884","2.666516707097884","2.666516707097884"
"59","2.657650808636233","2.657650808636233","2.657650808636233"
"60","2.6491540799038016","2.6491540799038016","2.6491540799038016"
"61","2.6416935663429095","2.6416935663429095","2.6416935663429095"
"62","2.62977705413489","2.62977705413489","2.62977705413489"
"63","2.622428286847451","2.622428286847451","2.622428286847451"
