"Step","model_6 - train/cross_entropy_loss","model_6 - train/cross_entropy_loss__MIN","model_6 - train/cross_entropy_loss__MAX"
"64","2.617029179772027","2.617029179772027","2.617029179772027"
"65","2.606334964148432","2.606334964148432","2.606334964148432"
"66","2.601168337485773","2.601168337485773","2.601168337485773"
"67","2.5929136087568545","2.5929136087568545","2.5929136087568545"
"68","2.584864530631964","2.584864530631964","2.584864530631964"
"69","2.5774271007922054","2.5774271007922054","2.5774271007922054"
"70","2.5701129367883255","2.5701129367883255","2.5701129367883255"
"71","2.560017777861451","2.560017777861451","2.560017777861451"
"72","2.555465821739581","2.555465821739581","2.555465821739581"
"73","2.548850392266143","2.548850392266143","2.548850392266143"
"74","2.5420277701865","2.5420277701865","2.5420277701865"
"75","2.5332258125003295","2.5332258125003295","2.5332258125003295"
"76","2.5279581924136596","2.5279581924136596","2.5279581924136596"
"77","2.5214918997647953","2.5214918997647953","2.5214918997647953"
"78","2.516240979270112","2.516240979270112","2.516240979270112"
"79","2.509957745778475","2.509957745778475","2.509957745778475"
"80","2.5027051486557337","2.5027051486557337","2.5027051486557337"
"81","2.4957660822559604","2.4957660822559604","2.4957660822559604"
"82","2.489367361548993","2.489367361548993","2.489367361548993"
"83","2.484668392071621","2.484668392071621","2.484668392071621"
"84","2.480304151987858","2.480304151987858","2.480304151987858"
"85","2.473308575239113","2.473308575239113","2.473308575239113"
"86","2.4688462936620916","2.4688462936620916","2.4688462936620916"
"87","2.4647353810372112","2.4647353810372112","2.4647353810372112"
"88","2.4580276647060035","2.4580276647060035","2.4580276647060035"
"89","2.450640107230317","2.450640107230317","2.450640107230317"
"90","2.4470531545954644","2.4470531545954644","2.4470531545954644"
"91","2.4412822105901704","2.4412822105901704","2.4412822105901704"
"92","2.4331739291870336","2.4331739291870336","2.4331739291870336"
"93","2.431054183905073","2.431054183905073","2.431054183905073"
"94","2.426553328260243","2.426553328260243","2.426553328260243"
"95","2.419761894418181","2.419761894418181","2.419761894418181"
"96","2.4152204733100726","2.4152204733100726","2.4152204733100726"
"97","2.412126769264825","2.412126769264825","2.412126769264825"
"98","2.4069671648011792","2.4069671648011792","2.4069671648011792"
"99","2.4014264285135614","2.4014264285135614","2.4014264285135614"
"100","2.396527316072862","2.396527316072862","2.396527316072862"
