"Step","model_4_complete - train/cross_entropy_loss","model_4_complete - train/cross_entropy_loss__MIN","model_4_complete - train/cross_entropy_loss__MAX"
"1","7.007281221074166","7.007281221074166","7.007281221074166"
"2","5.396741908231228","5.396741908231228","5.396741908231228"
"3","5.259203166412792","5.259203166412792","5.259203166412792"
"4","5.2048181732781496","5.2048181732781496","5.2048181732781496"
"5","5.155395785681636","5.155395785681636","5.155395785681636"
"6","5.10690457186253","5.10690457186253","5.10690457186253"
"7","5.059819362146391","5.059819362146391","5.059819362146391"
"8","5.016460096235756","5.016460096235756","5.016460096235756"
"9","4.968015187078243","4.968015187078243","4.968015187078243"
"10","4.883267546729218","4.883267546729218","4.883267546729218"
"11","4.782355751065041","4.782355751065041","4.782355751065041"
"12","4.692875052527558","4.692875052527558","4.692875052527558"
"13","4.609422320084606","4.609422320084606","4.609422320084606"
"14","4.532414865150726","4.532414865150726","4.532414865150726"
"15","4.462226644694376","4.462226644694376","4.462226644694376"
"16","4.3976013986326805","4.3976013986326805","4.3976013986326805"
"17","4.339783490132943","4.339783490132943","4.339783490132943"
"18","4.285367283032095","4.285367283032095","4.285367283032095"
"19","4.2360177932025715","4.2360177932025715","4.2360177932025715"
"20","4.186673692662081","4.186673692662081","4.186673692662081"
"21","4.136998039355381","4.136998039355381","4.136998039355381"
"22","4.089022444306518","4.089022444306518","4.089022444306518"
"23","4.043275618724686","4.043275618724686","4.043275618724686"
"24","3.9988467744786105","3.9988467744786105","3.9988467744786105"
"25","3.957840080741498","3.957840080741498","3.957840080741498"
"26","3.920477638999335","3.920477638999335","3.920477638999335"
"27","3.8852511309891296","3.8852511309891296","3.8852511309891296"
"28","3.8519571547885594","3.8519571547885594","3.8519571547885594"
"29","3.818560614002694","3.818560614002694","3.818560614002694"
"30","3.7882809158709407","3.7882809158709407","3.7882809158709407"
"31","3.7593392794080773","3.7593392794080773","3.7593392794080773"
"32","3.7282491107638793","3.7282491107638793","3.7282491107638793"
"33","3.699450151525813","3.699450151525813","3.699450151525813"
"34","3.6710407613850324","3.6710407613850324","3.6710407613850324"
"35","3.645054372952139","3.645054372952139","3.645054372952139"
"36","3.6177878671412844","3.6177878671412844","3.6177878671412844"
"37","3.59224814819775","3.59224814819775","3.59224814819775"
"38","3.567199768779947","3.567199768779947","3.567199768779947"
"39","3.542686539588215","3.542686539588215","3.542686539588215"
"40","3.519220484246453","3.519220484246453","3.519220484246453"
"41","3.4963457996039082","3.4963457996039082","3.4963457996039082"
"42","3.476343630029143","3.476343630029143","3.476343630029143"
"43","3.4546150852450364","3.4546150852450364","3.4546150852450364"
"44","3.434174563387315","3.434174563387315","3.434174563387315"
"45","3.4150540434199272","3.4150540434199272","3.4150540434199272"
"46","3.3976939444919285","3.3976939444919285","3.3976939444919285"
"47","3.3788841182379414","3.3788841182379414","3.3788841182379414"
"48","3.3596527919494847","3.3596527919494847","3.3596527919494847"
"49","3.34388573735738","3.34388573735738","3.34388573735738"
"50","3.326581426661649","3.326581426661649","3.326581426661649"
"51","3.311061860846101","3.311061860846101","3.311061860846101"
