"Step","model_1_complete - train/cross_entropy_loss","model_1_complete - train/cross_entropy_loss__MIN","model_1_complete - train/cross_entropy_loss__MAX"
"1","6.939207028999603","6.939207028999603","6.939207028999603"
"2","5.228247515589214","5.228247515589214","5.228247515589214"
"3","4.969547738274224","4.969547738274224","4.969547738274224"
"4","4.820062637329102","4.820062637329102","4.820062637329102"
"5","4.686558311791729","4.686558311791729","4.686558311791729"
"6","4.560892561356798","4.560892561356798","4.560892561356798"
"7","4.457320734751311","4.457320734751311","4.457320734751311"
"8","4.369629458557788","4.369629458557788","4.369629458557788"
"9","4.295081594865099","4.295081594865099","4.295081594865099"
"10","4.229613973082398","4.229613973082398","4.229613973082398"
"11","4.167979103198155","4.167979103198155","4.167979103198155"
"12","4.1103238802162005","4.1103238802162005","4.1103238802162005"
"13","4.05945791614999","4.05945791614999","4.05945791614999"
"14","4.014561659998173","4.014561659998173","4.014561659998173"
"15","3.971615825625632","3.971615825625632","3.971615825625632"
"16","3.930997747311489","3.930997747311489","3.930997747311489"
"17","3.890574906369765","3.890574906369765","3.890574906369765"
"18","3.854988026104385","3.854988026104385","3.854988026104385"
"19","3.8211545549708306","3.8211545549708306","3.8211545549708306"
"20","3.789155579299378","3.789155579299378","3.789155579299378"
"21","3.7580972592607678","3.7580972592607678","3.7580972592607678"
"22","3.7317772923613624","3.7317772923613624","3.7317772923613624"
"23","3.7051788251177014","3.7051788251177014","3.7051788251177014"
"24","3.67915026232493","3.67915026232493","3.67915026232493"
"25","3.6566241387840654","3.6566241387840654","3.6566241387840654"
"26","3.634114939531834","3.634114939531834","3.634114939531834"
"27","3.6121206317874166","3.6121206317874166","3.6121206317874166"
"28","3.5920937644491953","3.5920937644491953","3.5920937644491953"
"29","3.5729907056410535","3.5729907056410535","3.5729907056410535"
"30","3.5539790966527924","3.5539790966527924","3.5539790966527924"
"31","3.5365444962069286","3.5365444962069286","3.5365444962069286"
"32","3.5198578903143356","3.5198578903143356","3.5198578903143356"
"33","3.5037516604224557","3.5037516604224557","3.5037516604224557"
"34","3.486129357660417","3.486129357660417","3.486129357660417"
"35","3.471880341605317","3.471880341605317","3.471880341605317"
"36","3.4564258108893746","3.4564258108893746","3.4564258108893746"
"37","3.4421682975275054","3.4421682975275054","3.4421682975275054"
"38","3.4273793834576503","3.4273793834576503","3.4273793834576503"
"39","3.415661096572876","3.415661096572876","3.415661096572876"
"40","3.4017900185619325","3.4017900185619325","3.4017900185619325"
"41","3.387794050381338","3.387794050381338","3.387794050381338"
"42","3.3746671573721247","3.3746671573721247","3.3746671573721247"
"43","3.363190560032138","3.363190560032138","3.363190560032138"
"44","3.352629790203177","3.352629790203177","3.352629790203177"
"45","3.3427598390647835","3.3427598390647835","3.3427598390647835"
"46","3.330245403934726","3.330245403934726","3.330245403934726"
"47","3.318934723627653","3.318934723627653","3.318934723627653"
"48","3.308136605530334","3.308136605530334","3.308136605530334"
"49","3.2981959727170658","3.2981959727170658","3.2981959727170658"
"50","3.287886327976803","3.287886327976803","3.287886327976803"
"51","3.2768250986826506","3.2768250986826506","3.2768250986826506"
"52","3.2681172117054893","3.2681172117054893","3.2681172117054893"
"53","3.2569848650651014","3.2569848650651014","3.2569848650651014"
"54","3.2487801527805464","3.2487801527805464","3.2487801527805464"
"55","3.239042150030891","3.239042150030891","3.239042150030891"
"56","3.228635654175024","3.228635654175024","3.228635654175024"
"57","3.2198694627062023","3.2198694627062023","3.2198694627062023"
"58","3.2093909215584078","3.2093909215584078","3.2093909215584078"
"59","3.2014956337084874","3.2014956337084874","3.2014956337084874"
"60","3.1926684036529323","3.1926684036529323","3.1926684036529323"
"61","3.18516599531654","3.18516599531654","3.18516599531654"
"62","3.1760663900443977","3.1760663900443977","3.1760663900443977"
"63","3.1688028136603266","3.1688028136603266","3.1688028136603266"
"64","3.1600464385190454","3.1600464385190454","3.1600464385190454"
"65","3.1515816578762137","3.1515816578762137","3.1515816578762137"
"66","3.1435078013715128","3.1435078013715128","3.1435078013715128"
"67","3.1359312688704017","3.1359312688704017","3.1359312688704017"
"68","3.1283344056108873","3.1283344056108873","3.1283344056108873"
"69","3.120864417055528","3.120864417055528","3.120864417055528"
"70","3.1120737971161767","3.1120737971161767","3.1120737971161767"
"71","3.1063383020085396","3.1063383020085396","3.1063383020085396"
"72","3.098893026653811","3.098893026653811","3.098893026653811"
"73","3.0919432554313606","3.0919432554313606","3.0919432554313606"
"74","3.0835053852136185","3.0835053852136185","3.0835053852136185"
"75","3.077791047610825","3.077791047610825","3.077791047610825"
"76","3.0734326462093873","3.0734326462093873","3.0734326462093873"
"77","3.062932734866794","3.062932734866794","3.062932734866794"
"78","3.0572349973719755","3.0572349973719755","3.0572349973719755"
"79","3.051064986976788","3.051064986976788","3.051064986976788"
"80","3.045367858392729","3.045367858392729","3.045367858392729"
"81","3.038308081867026","3.038308081867026","3.038308081867026"
"82","3.033091267235845","3.033091267235845","3.033091267235845"
"83","3.0264207647858763","3.0264207647858763","3.0264207647858763"
"84","3.019178582609986","3.019178582609986","3.019178582609986"
"85","3.0143613506564133","3.0143613506564133","3.0143613506564133"
"86","3.0070267889997084","3.0070267889997084","3.0070267889997084"
"87","3.0018905958683373","3.0018905958683373","3.0018905958683373"
"88","2.995709671391","2.995709671391","2.995709671391"
"89","2.989346543661982","2.989346543661982","2.989346543661982"
"90","2.982475078363213","2.982475078363213","2.982475078363213"
"91","2.979454534516918","2.979454534516918","2.979454534516918"
"92","2.973302789729276","2.973302789729276","2.973302789729276"
"93","2.9672172584122034","2.9672172584122034","2.9672172584122034"
"94","2.9606714471638633","2.9606714471638633","2.9606714471638633"
"95","2.9559351540297913","2.9559351540297913","2.9559351540297913"
"96","2.951029326418321","2.951029326418321","2.951029326418321"
"97","2.946000738967237","2.946000738967237","2.946000738967237"
"98","2.9392633575329676","2.9392633575329676","2.9392633575329676"
"99","2.9341269705792983","2.9341269705792983","2.9341269705792983"
"100","2.929444242724412","2.929444242724412","2.929444242724412"
